"","AMT","TIME","TFDS","DV"
"897",200,20,2,230.15703677
"898",200,21,3,171.4302619
"899",200,22,4,136.49791466
"900",200,23,5,114.41929843
"901",200,24,0,98.53017181
"902",200,25,1,288.21133109
"903",200,26,2,234.34527993
"904",200,27,3,175.11360041
"905",200,28,4,139.73721622
"906",200,29,5,117.26809296
"907",200,30,0,101.03553604
"908",200,31,1,290.41466652
"909",200,32,2,236.28299699
"910",200,33,3,176.81772016
"911",200,34,4,141.23589948
"912",200,35,5,118.58610568
"913",200,36,0,102.19465857
"914",200,37,1,291.43405353
"915",200,38,2,237.17949399
"916",200,39,3,177.60614189
"917",200,40,4,141.92927472
"918",200,41,5,119.19589256
"919",200,42,0,102.73093391
"920",200,43,1,291.90567934
"921",200,44,2,237.59426397
"922",200,45,3,177.97091017
"923",200,46,4,142.25006914
"924",200,47,5,119.4780143
"925",200,48,0,102.97904507
"926",200,49,1,292.12388
"927",200,50,2,237.78615991
"928",200,51,3,178.13967251
"929",200,52,4,142.3984867
